# Server version 0.08 running on 192.168.2.231:8123
# Game ID: 19
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Tue Mar 15 23:26:52 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260513906', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260513906
PIT 0 2
PIT 1 0
PIT 0 9
PIT 1 1
PIT 0 15
PIT 1 3
PIT 0 6
PIT 1 13
PIT 0 3
PIT 1 8
PIT 0 1
PIT 1 4
PIT 0 11
PIT 1 26
PIT 0 20
PIT 1 19
PIT 0 5
PIT 1 29
PIT 0 6
PIT 1 28
PIT 0 7
PIT 1 0
PIT 0 13
PIT 1 12
PIT 0 0
PIT 1 22
PIT 0 3
PIT 1 16
PIT 0 6
PIT 1 24
PIT 0 7
PIT 1 14
PIT 0 8
PIT 1 15
PIT 0 9
PIT 1 28
PIT 0 10
PIT 1 30
PIT 0 13
PIT 1 0
PIT 0 14
PIT 1 1
PIT 0 15
PIT 1 4
GAMEOVER WINNER 1
# Game ended: Tue Mar 15 23:26:52 EDT 2016
