# Server version 0.08 running on wpa149059.wireless.mcgill.ca:8123
# Game ID: 146
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Mar 31 14:46:01 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on wpa149059.wireless.mcgill.ca
# Player 2: Player-1, '260513906', running on wpa149059.wireless.mcgill.ca
START Player-0 RandomHusPlayer
START Player-1 260513906
PIT 0 11
PIT 1 23
PIT 0 17
PIT 1 19
PIT 0 21
PIT 1 15
PIT 0 9
PIT 1 27
PIT 0 0
PIT 1 23
PIT 0 10
PIT 1 18
PIT 0 15
PIT 1 28
PIT 0 11
PIT 1 0
PIT 0 12
PIT 1 27
PIT 0 15
PIT 1 21
PIT 0 19
PIT 1 19
PIT 0 20
PIT 1 23
PIT 0 17
PIT 1 26
GAMEOVER WINNER 1
# Game ended: Thu Mar 31 14:46:02 EDT 2016
