# Server version 0.08 running on 192.168.2.231:8123
# Game ID: 174
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Mar 31 18:31:55 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on 192.168.2.231
# Player 2: Player-1, '260513906', running on 192.168.2.231
START Player-0 RandomHusPlayer
START Player-1 260513906
PIT 0 15
PIT 1 23
PIT 0 7
PIT 1 20
PIT 0 4
PIT 1 24
PIT 0 19
PIT 1 16
PIT 0 8
PIT 1 31
PIT 0 14
PIT 1 26
PIT 0 3
PIT 1 29
PIT 0 1
PIT 1 30
PIT 0 2
PIT 1 31
PIT 0 4
PIT 1 29
PIT 0 7
PIT 1 30
PIT 0 3
PIT 1 31
PIT 0 0
PIT 1 28
PIT 0 8
PIT 1 29
PIT 0 12
PIT 1 25
GAMEOVER WINNER 1
# Game ended: Thu Mar 31 18:31:59 EDT 2016
