# Server version 0.08 running on wpa149070.wireless.mcgill.ca:8123
# Game ID: 187
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Fri Apr 01 16:04:19 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on wpa149070.wireless.mcgill.ca
# Player 2: Player-1, '260513906', running on wpa149070.wireless.mcgill.ca
START Player-0 RandomHusPlayer
START Player-1 260513906
PIT 0 22
PIT 1 12
PIT 0 17
PIT 1 15
PIT 0 14
PIT 1 11
PIT 0 0
PIT 1 20
PIT 0 3
PIT 1 1
PIT 0 1
PIT 1 5
PIT 0 5
PIT 1 26
PIT 0 11
PIT 1 7
PIT 0 6
PIT 1 9
PIT 0 12
PIT 1 30
GAMEOVER WINNER 1
# Game ended: Fri Apr 01 16:04:21 EDT 2016
