# Server version 0.08 running on 192.168.2.243:8123
# Game ID: 243
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Sat Apr 02 11:12:13 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on 192.168.2.243
# Player 2: Player-1, '260513906', running on 192.168.2.243
START Player-0 RandomHusPlayer
START Player-1 260513906
PIT 0 11
PIT 1 22
PIT 0 2
PIT 1 0
PIT 0 18
PIT 1 15
PIT 0 20
PIT 1 10
PIT 0 3
PIT 1 26
PIT 0 1
PIT 1 31
PIT 0 5
PIT 1 2
PIT 0 21
PIT 1 21
PIT 0 6
PIT 1 24
PIT 0 15
PIT 1 6
PIT 0 9
PIT 1 24
PIT 0 10
PIT 1 0
PIT 0 0
PIT 1 4
PIT 0 3
PIT 1 5
GAMEOVER WINNER 1
# Game ended: Sat Apr 02 11:12:17 EDT 2016
