# Server version 0.08 running on wpa076073.wireless.mcgill.ca:8123
# Game ID: 309
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Sat Apr 02 15:14:46 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on wpa076073.wireless.mcgill.ca
# Player 2: Player-1, '260513906', running on wpa076073.wireless.mcgill.ca
START Player-0 RandomHusPlayer
START Player-1 260513906
PIT 0 22
PIT 1 23
PIT 0 21
PIT 1 15
PIT 0 20
PIT 1 1
PIT 0 19
PIT 1 2
PIT 0 12
PIT 1 6
PIT 0 6
PIT 1 0
PIT 0 3
PIT 1 9
PIT 0 1
PIT 1 4
PIT 0 4
PIT 1 13
PIT 0 24
PIT 1 7
PIT 0 20
PIT 1 14
PIT 0 26
PIT 1 17
PIT 0 4
GAMEOVER WINNER 0
# Game ended: Sat Apr 02 15:14:57 EDT 2016
